author,events_exp,n_exp,events_ctrl,n_ctrl,subgroup
Pan 1997,58,126,90,133,none
Tuomilehto 2001,27,265,59,257,none
Knowler 2002,145,1079,333,1082,none
Kosaka 2005,3,102,33,356,none
Ramachandran 2006,47,120,73,133,none
Bo 2007,3,169,12,166,none
Penn 2009,5,51,11,51,none
